aX,aY,aZ,gX,gY,gZ
0.043,-0.474,0.908,1.892,6.775,7.751
0.047,-0.475,0.914,2.258,8.301,6.470
0.050,-0.473,0.918,1.099,8.301,5.066
0.042,-0.462,0.917,-0.061,7.324,3.662
0.045,-0.458,0.916,-0.122,6.897,2.258
0.053,-0.467,0.923,0.916,6.958,1.709
0.064,-0.474,0.931,1.770,7.629,2.869
0.068,-0.475,0.939,2.136,8.606,5.249
0.059,-0.473,0.936,1.953,9.766,8.118
0.051,-0.471,0.927,1.831,10.498,9.644
0.045,-0.470,0.927,2.075,9.766,8.850
0.043,-0.474,0.931,2.258,8.484,6.836
0.048,-0.482,0.924,1.648,7.996,4.822
0.061,-0.492,0.916,0.732,7.568,2.991
0.075,-0.500,0.907,-0.244,5.798,1.282
0.086,-0.508,0.899,-1.221,4.150,-0.183
0.099,-0.512,0.894,-1.831,3.052,-0.610
0.109,-0.518,0.895,-1.404,3.540,0.000
0.108,-0.516,0.891,-0.732,5.127,1.953
0.105,-0.510,0.880,0.183,7.263,3.845
0.099,-0.502,0.870,1.282,8.728,4.517
0.098,-0.495,0.858,1.709,8.179,3.235
0.103,-0.496,0.852,1.465,5.127,0.427
0.106,-0.501,0.856,1.099,1.587,-1.892
0.102,-0.509,0.862,0.610,-0.244,-2.502
0.094,-0.519,0.869,0.549,-0.122,-2.075

0.294,0.827,2.149,44.373,-19.836,14.099
0.317,0.954,2.166,36.499,-18.066,7.263
0.246,0.901,2.093,29.175,-19.348,0.854
0.062,0.793,1.979,22.888,-24.780,-3.357
-0.217,0.628,1.807,14.282,-32.349,-7.996
-0.524,0.423,1.585,5.920,-43.091,-19.653
-0.768,0.103,1.323,0.549,-52.734,-41.809
-0.905,-0.357,1.071,4.700,-58.899,-69.336
-0.963,-0.967,0.843,15.320,-56.396,-94.849
-0.902,-1.619,0.517,22.095,-38.879,-115.601
-0.676,-2.155,0.062,23.010,-12.634,-133.789
-0.276,-2.502,-0.422,27.222,17.822,-145.935
0.234,-2.654,-0.682,45.532,48.767,-146.301
0.675,-2.687,-0.703,66.040,75.256,-128.296
0.908,-2.625,-0.629,72.449,90.820,-91.248
0.938,-2.456,-0.483,68.237,95.520,-51.758
0.889,-2.241,-0.311,56.824,89.111,-20.020
0.732,-1.951,-0.161,35.034,60.181,0.427
0.492,-1.578,-0.045,7.019,12.451,9.094
0.217,-1.208,0.044,-16.418,-28.992,12.695
-0.076,-0.893,0.142,-28.625,-48.767,19.714
-0.351,-0.661,0.247,-30.457,-49.072,28.870
-0.545,-0.494,0.346,-26.611,-40.649,32.288
-0.649,-0.389,0.427,-21.545,-30.579,27.710
-0.670,-0.338,0.497,-15.625,-20.264,19.348
-0.643,-0.321,0.534,-10.620,-10.559,11.719
