aX,aY,aZ,gX,gY,gZ
0.227,0.000,0.982,1.099,-6.531,-0.916
0.225,0.003,0.978,6.348,-1.404,-1.648
0.232,-0.002,0.977,10.010,4.517,-2.625
0.239,-0.006,0.973,12.024,8.972,-2.686
0.241,-0.012,0.975,12.573,11.353,-1.831
0.246,-0.016,0.981,11.230,12.207,-1.099
0.244,-0.023,0.982,8.240,11.536,-0.854
0.250,-0.030,0.974,5.127,9.888,-1.099
0.259,-0.033,0.966,2.197,6.592,-2.319
0.267,-0.035,0.954,-0.732,2.014,-3.235
0.269,-0.036,0.943,-2.991,-1.953,-3.174
0.264,-0.028,0.929,-2.686,-3.357,-2.563
0.257,-0.017,0.911,-0.610,-2.563,-2.014
0.254,-0.005,0.893,3.357,-0.549,-1.587
0.241,-0.005,0.893,7.874,1.038,-1.343
0.244,-0.019,0.911,11.353,2.136,-1.709
0.243,-0.024,0.928,13.184,3.357,-0.977
0.249,-0.038,0.952,13.550,4.578,0.549
0.245,-0.041,0.972,11.353,5.798,1.770
0.243,-0.041,0.982,8.179,7.446,2.563
0.241,-0.046,0.973,4.761,8.484,2.075
0.251,-0.048,0.952,2.197,7.507,1.160
0.259,-0.050,0.936,0.977,4.272,0.488
0.268,-0.054,0.942,0.061,-0.366,0.244
0.266,-0.052,0.949,-0.793,-3.418,0.793

0.391,-1.796,-0.244,723.694,-73.486,-194.031
0.400,-1.962,0.450,649.109,-144.409,-176.392
0.425,-1.772,1.054,548.218,-197.327,-117.981
0.407,-1.589,1.582,461.853,-199.341,-53.772
0.346,-1.468,1.756,384.827,-148.682,-9.949
0.208,-1.343,1.543,315.247,-81.970,22.766
0.058,-1.228,1.198,247.803,-33.630,36.743
-0.129,-1.134,0.813,187.500,-16.479,30.579
-0.193,-1.059,0.545,136.108,-17.822,7.141
-0.203,-1.063,0.391,90.149,-29.236,-26.489
-0.155,-1.108,0.348,54.749,-46.753,-62.500
-0.070,-1.171,0.392,29.968,-62.378,-88.562
0.014,-1.219,0.456,15.320,-67.627,-100.952
0.060,-1.278,0.487,9.277,-60.730,-100.464
0.071,-1.317,0.492,6.958,-48.096,-89.783
0.055,-1.338,0.487,7.019,-35.278,-74.280
0.052,-1.343,0.470,5.676,-24.414,-58.533
0.041,-1.327,0.449,2.563,-16.907,-44.678
0.035,-1.289,0.426,-1.892,-10.925,-32.959
0.030,-1.245,0.404,-7.996,-5.493,-24.719
0.039,-1.214,0.391,-17.029,-2.197,-20.447
0.039,-1.183,0.403,-30.457,-3.418,-19.348
0.045,-1.168,0.433,-46.997,-6.775,-20.020
0.048,-1.168,0.459,-65.247,-9.338,-21.729
0.052,-1.176,0.484,-83.862,-10.559,-22.461
0.068,-1.188,0.491,-100.708,-9.705,-21.423
0.089,-1.196,0.486,-116.882,-7.690,-18.555
0.109,-1.203,0.494,-131.592,-5.859,-14.221
0.123,-1.209,0.499,-143.555,-2.686,-8.667
0.130,-1.217,0.502,-153.320,1.892,-2.258
0.134,-1.220,0.521,-161.621,5.676,6.348
0.138,-1.225,0.560,-168.945,9.155,16.541
0.135,-1.214,0.608,-177.368,13.672,26.367
0.118,-1.190,0.643,-186.279,19.470,36.133
0.110,-1.141,0.647,-194.214,27.588,44.678
0.093,-1.084,0.649,-199.951,38.330,50.293
0.086,-1.030,0.654,-204.102,50.598,54.932
0.099,-0.995,0.680,-210.388,61.462,59.753
0.095,-0.974,0.715,-220.032,68.665,64.575
0.084,-0.938,0.740,-232.117,74.158,70.251
